QUARTER,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,AIRPORT,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2,2,2019-04-09,WN,846,Malone,"Atlanta, GA",1655,1814.0,79.0,5.0,16,4,4.0,0.0,34.0,0.0,75.0
2,2,2019-04-09,WN,1577,Malone,"Atlanta, GA",2035,2051.0,16.0,1.0,20,4,0.0,0.0,19.0,0.0,16.0
2,2,2019-04-09,WN,350,Malone,"Nashville, TN",1625,1639.0,14.0,0.0,16,4,0.0,0.0,3.0,0.0,14.0
2,2,2019-04-09,WN,578,Malone,"Dallas, TX",2005,2023.0,18.0,1.0,20,6,7.0,0.0,23.0,0.0,11.0
2,2,2019-04-09,WN,966,Malone,"Dallas, TX",1740,1739.0,-1.0,-1.0,17,6,0.0,0.0,46.0,0.0,0.0
2,2,2019-04-09,WN,1327,Malone,"Denver, CO",1720,1715.0,-5.0,-1.0,17,7,0.0,0.0,16.0,0.0,0.0
2,2,2019-04-09,WN,4296,Malone,"Houston, TX",1655,1720.0,25.0,1.0,16,6,2.0,0.0,17.0,0.0,23.0
2,2,2019-04-09,WN,1037,Malone,"Chicago, IL",1605,1622.0,17.0,1.0,16,3,10.0,0.0,20.0,0.0,7.0
2,2,2019-04-09,WN,1967,Malone,"Chicago, IL",2055,2302.0,127.0,8.0,20,3,1.0,0.0,0.0,0.0,117.0
2,2,2019-04-09,WN,2151,Malone,"Chicago, IL",1850,1911.0,21.0,1.0,18,3,0.0,0.0,31.0,0.0,21.0
2,2,2019-04-09,WN,1377,Malone,"Milwaukee, WI",1925,1925.0,0.0,0.0,19,3,0.0,0.0,30.0,0.0,0.0
2,2,2019-04-09,WN,733,Malone,"St. Louis, MO",1755,1838.0,43.0,2.0,17,4,43.0,0.0,21.0,0.0,0.0
2,2,2019-04-23,WN,966,Malone,"Dallas, TX",1740,1755.0,15.0,1.0,17,6,1.0,0.0,19.0,0.0,14.0
2,2,2019-04-23,WN,1037,Malone,"Chicago, IL",1605,1625.0,20.0,1.0,16,3,1.0,0.0,4.0,0.0,19.0
2,2,2019-04-23,WN,2181,Malone,"Chicago, IL",1200,1308.0,68.0,4.0,12,3,0.0,0.0,0.0,0.0,56.0
2,2,2019-04-23,WN,1377,Malone,"Milwaukee, WI",1925,2156.0,151.0,10.0,19,3,0.0,0.0,0.0,0.0,136.0
2,2,2019-04-23,WN,2217,Malone,"Milwaukee, WI",1055,1218.0,83.0,5.0,10,3,15.0,0.0,0.0,0.0,48.0
2,2,2019-04-23,WN,711,Malone,"St. Louis, MO",1400,1449.0,49.0,3.0,14,4,7.0,0.0,0.0,0.0,41.0
2,2,2019-04-16,WN,204,Malone,"Atlanta, GA",1000,1008.0,8.0,0.0,10,4,8.0,0.0,16.0,0.0,0.0
2,2,2019-04-16,WN,846,Malone,"Atlanta, GA",1655,1740.0,45.0,3.0,16,4,45.0,0.0,24.0,0.0,0.0
2,2,2019-04-16,WN,578,Malone,"Dallas, TX",2005,2051.0,46.0,3.0,20,6,11.0,0.0,0.0,0.0,21.0
2,2,2019-04-16,WN,966,Malone,"Dallas, TX",1740,1749.0,9.0,0.0,17,6,9.0,0.0,20.0,0.0,0.0
2,2,2019-04-16,WN,2020,Malone,"Dallas, TX",1030,1028.0,-2.0,-1.0,10,6,0.0,0.0,20.0,0.0,0.0
2,2,2019-04-16,WN,2203,Malone,"Dallas, TX",1510,1525.0,15.0,1.0,15,6,15.0,0.0,12.0,0.0,0.0
2,2,2019-04-16,WN,1327,Malone,"Denver, CO",1720,1721.0,1.0,0.0,17,7,0.0,0.0,39.0,0.0,0.0
2,2,2019-04-16,WN,2048,Malone,"Houston, TX",1150,1206.0,16.0,1.0,11,6,16.0,0.0,19.0,0.0,0.0
2,2,2019-04-16,WN,681,Malone,"Kansas City, MO",1830,1841.0,11.0,0.0,18,5,0.0,0.0,4.0,0.0,11.0
2,2,2019-04-16,WN,1037,Malone,"Chicago, IL",1605,1615.0,10.0,0.0,16,3,8.0,0.0,10.0,0.0,2.0
2,2,2019-04-16,WN,1967,Malone,"Chicago, IL",2055,2233.0,98.0,6.0,20,3,3.0,0.0,0.0,0.0,76.0
2,2,2019-04-16,WN,2038,Malone,"Chicago, IL",1000,1007.0,7.0,0.0,10,3,7.0,0.0,23.0,0.0,0.0
2,2,2019-04-16,WN,2151,Malone,"Chicago, IL",1850,1854.0,4.0,0.0,18,3,0.0,0.0,21.0,0.0,0.0
2,2,2019-04-16,WN,1377,Malone,"Milwaukee, WI",1925,1934.0,9.0,0.0,19,3,0.0,0.0,9.0,0.0,9.0
2,2,2019-04-16,WN,2217,Malone,"Milwaukee, WI",1055,1100.0,5.0,0.0,10,3,0.0,0.0,30.0,0.0,0.0
2,2,2019-04-16,WN,733,Malone,"St. Louis, MO",1755,1752.0,-3.0,-1.0,17,4,0.0,0.0,28.0,0.0,0.0
2,4,2019-04-25,WN,1577,Malone,"Atlanta, GA",2035,2124.0,49.0,3.0,20,4,7.0,0.0,0.0,0.0,23.0
2,4,2019-04-25,WN,578,Malone,"Dallas, TX",2005,2151.0,106.0,7.0,20,6,7.0,0.0,0.0,0.0,82.0
2,4,2019-04-25,WN,2092,Malone,"Denver, CO",1350,1603.0,133.0,8.0,13,7,129.0,0.0,0.0,0.0,0.0
2,4,2019-04-25,WN,2048,Malone,"Houston, TX",1150,1223.0,33.0,2.0,11,6,11.0,0.0,1.0,0.0,22.0
2,4,2019-04-25,WN,2091,Malone,"Houston, TX",610,926.0,196.0,12.0,6,6,196.0,0.0,19.0,0.0,0.0
2,4,2019-04-25,WN,1037,Malone,"Chicago, IL",1605,1644.0,39.0,2.0,16,3,9.0,0.0,0.0,0.0,15.0
2,4,2019-04-25,WN,2038,Malone,"Chicago, IL",1000,1030.0,30.0,2.0,10,3,15.0,0.0,1.0,0.0,15.0
2,4,2019-04-25,WN,2181,Malone,"Chicago, IL",1200,1157.0,-3.0,-1.0,12,3,0.0,0.0,17.0,0.0,0.0
2,4,2019-04-25,WN,2217,Malone,"Milwaukee, WI",1055,1113.0,18.0,1.0,10,3,4.0,0.0,7.0,0.0,14.0
2,4,2019-04-25,WN,1295,Malone,"New Orleans, LA",1125,1136.0,11.0,0.0,11,5,11.0,0.0,53.0,0.0,0.0
2,1,2019-04-08,WN,204,Malone,"Atlanta, GA",1000,1000.0,0.0,0.0,10,4,0.0,0.0,18.0,0.0,0.0
